movie_id,movie_title,director(s),top_5_cast
1243341,Z-O-M-B-I-E-S 4: Dawn of the Vampires,Paul Hoen,"Meg Donnelly (Addison)
Milo Manheim (Zed)
Chandler Kinney (Willa)
Kylee Russell (Eliza)
Freya Skye (Nova)"
675308,Lingering,Yoon Eun-kyoung,"Lee Se-young (Yu-mi)
Park Ji-young (Gyeong-seon)
Park Hyo-ju (Lee Ye-rin)
Park So-yi (Yoon Ji-yoo)
Jeon Su-ji (Choi Yoon-hee)"
715287,Stepmom's Desire,Lee Dong-Joon,"Lee Soo
Tae Hee
James
Jung In"
1294949,Mamá Reinventada,"Bonnie Cartas, Joaquin Russek","Erika Buenfil (Patricia)
Michelle Renaud (Marina)
Nicolasa Ortíz Monasterio (Lua)
Hernán Mendoza (Bernardo)
Patricio José (Jan)"
1100988,28 Years Later,Danny Boyle,"Jodie Comer (Isla)
Aaron Taylor-Johnson (Jamie)
Alfie Williams (Spike)
Ralph Fiennes (Dr. Ian Kelson)
Edvin Ryding (Erik Sundqvist)"
1257586,The Hangman,Bruce Wemple,"LeJon Woods
Daniel Martin Berkey
Lindsey Dresbach
Jefferson Cox"
1414272,Belyas,G.B. Sampedro,"Audrey Avila (Josefa)
Dani Yoshida (Ara)
Denise Esteban (Vilma)
Matthew Francisco (Ian)
JD Aguas (Customer #1)"
1241982,Moana 2,"David G. Derrick Jr., Jason Hand, Dana Ledoux Miller","Auliʻi Cravalho (Moana (voice))
Dwayne Johnson (Maui (voice))
Hualālai Chung (Moni (voice))
Rose Matafeo (Loto (voice))
David Fane (Kele (voice))"
1442776,Crazy Lizard,Cecil Man Ching Cheng,Sammy Sum (Hu Tianming)
1197306,A Working Man,David Ayer,"Jason Statham (Levon Cade)
Jason Flemyng (Wolo Kolisnyk)
Merab Ninidze (Yuri)
Maximilian Osinski (Dimi Kolisnyk)
Cokey Falkow (Dougie)"
